dataset,sample_idx,seq_len,layer,threshold_type,threshold_value
hotpotqa,1,192,20,threshold_high,0.36025270819664
hotpotqa,1,192,20,threshold_low,0.018410876393318176
hotpotqa,2,192,10,threshold_high,0.7670071125030518
hotpotqa,2,192,10,threshold_low,0.050164949148893356
hotpotqa,2,192,20,threshold_high,0.3431287109851837
hotpotqa,2,192,20,threshold_low,0.020451100543141365
hotpotqa,3,192,10,threshold_high,0.7278711199760437
hotpotqa,3,192,10,threshold_low,0.05129879713058472
hotpotqa,3,192,20,threshold_high,0.37863782048225403
hotpotqa,3,192,20,threshold_low,0.020474817603826523
hotpotqa,4,192,10,threshold_high,0.6712395548820496
hotpotqa,4,192,10,threshold_low,0.05010986328125
hotpotqa,4,192,20,threshold_high,0.35111233592033386
hotpotqa,4,192,20,threshold_low,0.01690112054347992
hotpotqa,5,192,10,threshold_high,0.6932742595672607
hotpotqa,5,192,10,threshold_low,0.048291582614183426
hotpotqa,5,192,20,threshold_high,0.32987427711486816
hotpotqa,5,192,20,threshold_low,0.018867358565330505
hotpotqa,6,192,10,threshold_high,0.648724377155304
hotpotqa,6,192,10,threshold_low,0.04423822462558746
hotpotqa,6,192,20,threshold_high,0.29715001583099365
hotpotqa,6,192,20,threshold_low,0.01637338474392891
hotpotqa,7,192,10,threshold_high,0.6620303988456726
hotpotqa,7,192,10,threshold_low,0.048752207309007645
hotpotqa,7,192,20,threshold_high,0.37521791458129883
hotpotqa,7,192,20,threshold_low,0.01907159388065338
hotpotqa,8,192,10,threshold_high,0.735012948513031
hotpotqa,8,192,10,threshold_low,0.04840157553553581
hotpotqa,8,192,20,threshold_high,0.36632439494132996
hotpotqa,8,192,20,threshold_low,0.01881176419556141
hotpotqa,9,192,10,threshold_high,0.608100175857544
hotpotqa,9,192,10,threshold_low,0.04247942194342613
hotpotqa,9,192,20,threshold_high,0.3304043114185333
hotpotqa,9,192,20,threshold_low,0.018337929621338844
musique,0,192,10,threshold_high,0.6389163136482239
musique,0,192,10,threshold_low,0.041893601417541504
musique,0,192,20,threshold_high,0.29575493931770325
musique,0,192,20,threshold_low,0.014660102315247059
musique,1,192,10,threshold_high,0.7019026279449463
musique,1,192,10,threshold_low,0.041277285665273666
musique,1,192,20,threshold_high,0.3351825177669525
musique,1,192,20,threshold_low,0.017322158440947533
musique,2,192,10,threshold_high,0.7447938919067383
musique,2,192,10,threshold_low,0.04911542311310768
musique,2,192,20,threshold_high,0.40615114569664
musique,2,192,20,threshold_low,0.019992215558886528
musique,3,192,10,threshold_high,0.6781236529350281
musique,3,192,10,threshold_low,0.049757879227399826
musique,3,192,20,threshold_high,0.40888962149620056
musique,3,192,20,threshold_low,0.02341454289853573
musique,4,192,10,threshold_high,0.7010408043861389
musique,4,192,10,threshold_low,0.049509938806295395
musique,4,192,20,threshold_high,0.3698522746562958
musique,4,192,20,threshold_low,0.017928995192050934
musique,5,192,10,threshold_high,0.6940370202064514
musique,5,192,10,threshold_low,0.04566965624690056
musique,5,192,20,threshold_high,0.28689825534820557
musique,5,192,20,threshold_low,0.015512271784245968
musique,6,192,10,threshold_high,0.7268484234809875
musique,6,192,10,threshold_low,0.0481998510658741
musique,6,192,20,threshold_high,0.3622381389141083
musique,6,192,20,threshold_low,0.017551710829138756
musique,7,192,10,threshold_high,0.705555260181427
musique,7,192,10,threshold_low,0.04102025553584099
musique,7,192,20,threshold_high,0.3172067105770111
musique,7,192,20,threshold_low,0.016797669231891632
musique,8,192,10,threshold_high,0.6962201595306396
musique,8,192,10,threshold_low,0.045081865042448044
musique,8,192,20,threshold_high,0.35181471705436707
musique,8,192,20,threshold_low,0.018557099625468254
musique,9,192,10,threshold_high,0.7333283424377441
musique,9,192,10,threshold_low,0.055373210459947586
musique,9,192,20,threshold_high,0.37966418266296387
musique,9,192,20,threshold_low,0.0170365571975708
